stock,quantity,price,open,strategy,time
TSLA,3,284.5,297.37,strat 1,2022-08-27 18:07:35.990058
BNTX,7,142.05,145.16,strat 1,2022-08-27 18:07:35.990058
MRNA,7,136.62,142.8,strat 1,2022-08-27 18:07:35.990058
NVDA,6,162.0,178.53,strat 1,2022-08-27 18:07:35.990058
DELL,24,41.38,45.86,strat 1,2022-08-27 18:07:35.990058
MMM,7,129.77,143.64,strat 1,2022-08-27 18:07:35.990058
GOOG,8,111.25,115.86,strat 1,2022-08-27 18:07:35.990058
GOOGL,9,110.13,114.67,strat 1,2022-08-27 18:07:35.990058
NFLX,4,222.45,233.61,strat 1,2022-08-27 18:07:35.990058
OKTA,10,93.4,99.68,strat 1,2022-08-27 18:07:35.990058
DLTR,7,138.4,149.21,strat 1,2022-08-27 18:07:35.990058
BA,6,164.08,170.0,strat 1,2022-08-27 18:07:35.990058
CRM,6,164.8,173.96,strat 1,2022-08-27 18:07:35.990058
DG,4,236.31,246.21,strat 1,2022-08-27 18:07:35.990058
BIDU,6,147.6,154.27,strat 1,2022-08-27 18:07:35.990058
AAPL,6,162.47,170.57,strat 1,2022-08-27 18:07:40.675175
AMZN,7,130.3,136.58,strat 1,2022-08-27 18:07:40.675175
